"seqname","id","strand","pos","p1.pos","m1.pos","dist","descr","start","end","chrom"
"chrI","YAR018C (KIN3 FUN52 NPK1)","-",170313,170209,170388,179,"F-close-F",170209,170388,"chrI"
"chrI","YAR019C (CDC15 LYT1)","-",172126,172116,172294,178,"W-close-W",172116,172294,"chrI"
"chrI","YAR023C","-",179251,179247,179379,132,"W-close-F",179247,179379,"chrI"
"chrI","YAR027W (UIP3)","+",184605,184623,184510,113,"F-overlap-W",184510,184623,"chrI"
"chrI","YAR028W","+",185794,185944,185688,256,"W-open-F",185688,185944,"chrI"
"chrI","YAR029W","+",186766,186794,186626,168,"W-close-W",186626,186794,"chrI"
"chrI","YAR033W (MST28)","+",188904,188957,188868,89,"W-overlap-F",188868,188957,"chrI"
"chrI","YAR035W (YAT1)","+",192365,192456,192315,141,"W-close-F",192315,192456,"chrI"
"chrI","YAR042W (SWH1 OSH1 YAR044W)","+",196349,196364,196277,87,"F-overlap-F",196277,196364,"chrI"
"chrI","YAR066W","+",221759,NA,NA,NA,"+1_missing",210806,223028,"chrI"
"chrII","YBL001C (ECM15)","-",237064,236889,237126,237,"W-open-F",236889,237126,"chrII"
"chrII","YBL002W (HTB2)","+",237087,237126,236889,237,"F-open-W",236889,237126,"chrII"
"chrII","YBL003C (HTA2 H2A2)","-",235199,235155,235235,80,"F-overlap-F",235155,235235,"chrII"
"chrII","YBL004W (UTP20)","+",235175,235235,235155,80,"F-overlap-F",235155,235235,"chrII"
"chrII","YBL005W (PDR3 AMY2 TPE2)","+",220685,220739,220640,99,"F-overlap-F",220640,220739,"chrII"
"chrII","YBL006C (LDB7 RSC14)","-",216405,216367,216651,284,"W-open-W",216367,216651,"chrII"
"chrII","YBL007C (SLA1)","-",212548,212298,212654,356,"F-open-F",212298,212654,"chrII"
"chrII","YBL008W (HIR1)","+",212256,212298,212158,140,"F-close-F",212158,212298,"chrII"
"chrII","YBL009W (ALK2)","+",209350,209413,209215,198,"F-close-W",209215,209413,"chrII"
"chrII","YBL010C","-",205899,205846,206077,231,"W-open-F",205846,206077,"chrII"
"chrII","YBL011W (SCT1 GAT2)","+",206022,206077,205846,231,"F-open-W",205846,206077,"chrII"
"chrII","YBL014C (RRN6)","-",198947,198886,199097,211,"W-close-W",198886,199097,"chrII"
"chrII","YBL015W (ACH1)","+",195953,196075,195902,173,"W-close-W",195902,196075,"chrII"
"chrII","YBL016W (FUS3 DAC2)","+",193647,193920,193476,444,"F-open-F",193476,193920,"chrII"
"chrII","YBL017C (PEP1 VPS10 VPT1)","-",186771,NA,NA,NA,"+1_missing",186470,186923,"chrII"
"chrII","YBL018C (POP8)","-",185933,185808,186114,306,"W-open-F",185808,186114,"chrII"
"chrII","YBL019W (APN2 ETH1)","+",186027,186114,185808,306,"F-open-W",185808,186114,"chrII"
"chrII","YBL020W (RFT1)","+",184205,184363,184167,196,"F-close-W",184167,184363,"chrII"
"chrII","YBL021C (HAP3)","-",181490,181365,181623,258,"W-open-W",181365,181623,"chrII"
"chrII","YBL022C (PIM1 LON1)","-",177798,177550,177843,293,"W-open-F",177550,177843,"chrII"
"chrII","YBL023C (MCM2)","-",174739,174625,174809,184,"F-close-F",174625,174809,"chrII"
"chrII","YBL024W (NCL1 TRM4)","+",174713,174809,174625,184,"F-close-F",174625,174809,"chrII"
"chrII","YBL025W (RRN10)","+",172384,172550,172086,464,"W-open-W",172086,172550,"chrII"
"chrII","YBL026W (LSM2 SMX5 SNP3)","+",171172,171210,171042,168,"F-close-W",171042,171210,"chrII"
"chrII","YBL027W (RPL19B)","+",169466,NA,NA,NA,"+1_missing",169374,169770,"chrII"
"chrII","YBL028C","-",167301,167188,167508,320,"F-open-W",167188,167508,"chrII"
"chrII","YBL029C-A","-",164360,164110,164529,419,"W-open-F",164110,164529,"chrII"
"chrII","YBL029W","+",167371,167508,167188,320,"W-open-F",167188,167508,"chrII"
"chrII","YBL030C (PET9 AAC2 ANC2 OP1)","-",162774,162719,NA,NA,"-1_missing",162719,163107,"chrII"
"chrII","YBL031W (SHE1)","+",162865,163107,162719,388,"F-open-F",162719,163107,"chrII"
"chrII","YBL032W (HEK2 KHD1)","+",161509,161719,161442,277,"F-open-W",161442,161719,"chrII"
"chrII","YBL033C (RIB1)","-",158587,158425,158709,284,"W-open-W",158425,158709,"chrII"
"chrII","YBL034C (STU1)","-",153664,153666,153954,288,"W-open-W",153666,153954,"chrII"
"chrII","YBL035C (POL12)","-",151447,151199,151478,279,"W-open-W",151199,151478,"chrII"
"chrII","YBL036C","-",150301,150196,150357,161,"F-close-W",150196,150357,"chrII"
"chrII","YBL037W (APL3)","+",150403,150524,150357,167,"F-close-W",150357,150524,"chrII"
"chrII","YBL038W (MRPL16)","+",146965,147170,146907,263,"W-open-W",146907,147170,"chrII"
"chrII","YBL039C (URA7)","-",143805,NA,NA,NA,"+1_missing",143491,143831,"chrII"
"chrII","YBL039W-B (YBL039W-A)","+",143707,143831,143491,340,"F-open-F",143491,143831,"chrII"
"chrII","YBL040C (ERD2)","-",142025,141965,142169,204,"W-close-F",141965,142169,"chrII"
"chrII","YBL041W (PRE7 PRS3)","+",142040,142169,141965,204,"F-close-W",141965,142169,"chrII"
"chrII","YBL042C (FUI1)","-",138290,138112,138418,306,"F-open-F",138112,138418,"chrII"
"chrII","YBL043W (ECM13)","+",137644,137761,137545,216,"F-open-F",137545,137761,"chrII"
"chrII","YBL045C (COR1 QCR1)","-",133961,133876,134037,161,"F-close-F",133876,134037,"chrII"
"chrII","YBL046W (PSY4)","+",133937,134037,133876,161,"F-close-F",133876,134037,"chrII"
"chrII","YBL047C (EDE1 BUD15)","-",127682,127569,127738,169,"F-close-F",127569,127738,"chrII"
"chrII","YBL049W (MOH1)","+",127301,127355,127273,82,"F-overlap-W",127273,127355,"chrII"
"chrII","YBL050W (SEC17 RNS3)","+",126186,126262,126071,191,"W-close-F",126071,126262,"chrII"
"chrII","YBL051C (PIN4 MDT1)","-",122306,122100,122368,268,"F-open-W",122100,122368,"chrII"
"chrII","YBL052C (SAS3)","-",119306,119248,119332,84,"F-overlap-F",119248,119332,"chrII"
"chrII","YBL054W (TOD6 PBF1)","+",119304,119332,119248,84,"F-overlap-F",119248,119332,"chrII"
"chrII","YBL055C (Tat-D)","-",115479,115298,115686,388,"W-open-F",115298,115686,"chrII"
"chrII","YBL056W (PTC3)","+",115437,115686,115298,388,"F-open-W",115298,115686,"chrII"
"chrII","YBL057C (PTH2)","-",112728,112716,112910,194,"W-close-F",112716,112910,"chrII"
"chrII","YBL058W (SHP1 UBX1)","+",112825,112910,112716,194,"F-close-W",112716,112910,"chrII"
"chrII","YBL059C-A (CMC2)","-",109941,109825,110005,180,"W-close-W",109825,110005,"chrII"
"chrII","YBL059W","+",111280,111457,111166,291,"W-open-W",111166,111457,"chrII"
"chrII","YBL060W (YEL1)","+",110033,110170,110005,165,"W-close-W",110005,110170,"chrII"
"chrII","YBL061C (SKT5 CAL2 CHS4 CSD4)","-",105248,105087,105339,252,"F-open-F",105087,105339,"chrII"
"chrII","YBL063W (KIP1 CIN9)","+",105299,105339,105087,252,"F-open-F",105087,105339,"chrII"
"chrII","YBL064C (PRX1)","-",100299,100115,100402,287,"F-open-W",100115,100402,"chrII"
"chrII","YBL066C (SEF1)","-",96342,96100,96362,262,"F-open-F",96100,96362,"chrII"
"chrII","YBL067C (UBP13)","-",93515,93374,93570,196,"F-close-W",93374,93570,"chrII"
"chrII","YBL068W (PRS4)","+",93488,93570,93374,196,"W-close-F",93374,93570,"chrII"
"chrII","YBL069W (AST1)","+",92162,92162,91979,183,"W-close-W",91979,92162,"chrII"
"chrII","YBL071C-B","-",88955,88965,89078,113,"F-overlap-W",88965,89078,"chrII"
"chrII","YBL071W-A (KTI11 DPH3)","+",90670,90717,90457,260,"F-open-W",90457,90717,"chrII"
"chrII","YBL072C (RPS8A)","-",88412,88381,NA,NA,"-1_missing",88381,88965,"chrII"
"chrII","YBL074C (AAR2)","-",86499,86434,86602,168,"W-close-W",86434,86602,"chrII"
"chrII","YBL075C (SSA3 YG106)","-",84418,84260,84573,313,"W-open-W",84260,84573,"chrII"
"chrII","YBL076C (ILS1)","-",80947,80715,81012,297,"W-open-W",80715,81012,"chrII"
"chrII","YBL078C (ATG8 APG8 AUT7 CVT5)","-",80214,80215,80391,176,"W-close-W",80215,80391,"chrII"
"chrII","YBL079W (NUP170 NLE3)","+",79854,79939,79826,113,"F-overlap-F",79826,79939,"chrII"
"chrII","YBL080C (PET112)","-",72965,72916,73001,85,"F-overlap-W",72916,73001,"chrII"
"chrII","YBL081W","+",73097,73096,73001,95,"F-overlap-W",73001,73096,"chrII"
"chrII","YBL082C (ALG3 RHK1)","-",69664,69510,69784,274,"W-open-W",69510,69784,"chrII"
"chrII","YBL084C (CDC27 APC3 SNB1)","-",67035,66965,67283,318,"F-open-F",66965,67283,"chrII"
"chrII","YBL085W (BOI1 BOB1 GIN7)","+",66934,66965,66747,218,"F-open-F",66747,66965,"chrII"
"chrII","YBL086C","-",61155,NA,NA,NA,"+1_missing",60776,61207,"chrII"
"chrII","YBL087C (RPL23A)","-",59719,59557,59778,221,"F-open-W",59557,59778,"chrII"
"chrII","YBL088C (TEL1)","-",50935,50952,51127,175,"F-close-F",50952,51127,"chrII"
"chrII","YBL089W (AVT5)","+",51025,51127,50952,175,"F-close-F",50952,51127,"chrII"
"chrII","YBL090W (MRP21 MRP50)","+",49481,49604,49372,232,"W-open-W",49372,49604,"chrII"
"chrII","YBL091C (MAP2)","-",47263,47144,47388,244,"W-open-W",47144,47388,"chrII"
"chrII","YBL091C-A (SCS22)","-",46433,46289,46482,193,"F-close-W",46289,46482,"chrII"
"chrII","YBL092W (RPL32)","+",46478,46482,46289,193,"W-close-F",46289,46482,"chrII"
"chrII","YBL093C (ROX3 MED19 NUT3 SSN7)","-",44116,43971,44147,176,"W-close-W",43971,44147,"chrII"
"chrII","YBL095W","+",44207,44317,44147,170,"W-close-W",44147,44317,"chrII"
"chrII","YBL097W (BRN1)","+",43265,43307,43030,277,"W-open-W",43030,43307,"chrII"
"chrII","YBL098W (BNA4)","+",40560,40807,40523,284,"W-open-W",40523,40807,"chrII"
"chrII","YBL099W (ATP1)","+",38922,38937,38727,210,"F-close-F",38727,38937,"chrII"
"chrII","YBL100W-C (YBL101W-C)","+",28686,28787,28597,190,"W-close-F",28597,28787,"chrII"
"chrII","YBL101C (ECM21 ART2)","-",24810,24694,24921,227,"F-open-F",24694,24921,"chrII"
"chrII","YBL102W (SFT2)","+",24920,24921,24694,227,"F-open-F",24694,24921,"chrII"
"chrII","YBL103C (RTG3)","-",21698,21694,21858,164,"W-close-W",21694,21858,"chrII"
"chrII","YBL104C (YBL103C-A)","-",18086,17904,18199,295,"W-open-W",17904,18199,"chrII"
"chrII","YBL105C (PKC1 CLY15 HPO2 STT1)","-",14104,14015,14166,151,"F-close-F",14015,14166,"chrII"
"chrII","YBL106C (SRO77 SNI2 SOP2)","-",10773,10768,10929,161,"W-close-F",10768,10929,"chrII"
"chrII","YBL107C","-",9835,9797,9980,183,"W-close-W",9797,9980,"chrII"
"chrII","YBR001C (NTH2)","-",238872,238838,239037,199,"W-close-F",238838,239037,"chrII"
"chrII","YBR002C (RER2)","-",241547,241387,241677,290,"W-open-W",241387,241677,"chrII"
"chrII","YBR003W (COQ1)","+",244357,244456,244318,138,"F-close-F",244318,244456,"chrII"
"chrII","YBR004C (GPI18 FMP44)","-",244273,244131,244318,187,"F-close-F",244131,244318,"chrII"
"chrII","YBR005W (RCR1 SSH6)","+",246703,246875,246641,234,"F-open-F",246641,246875,"chrII"
"chrII","YBR006W (UGA2 UGA5)","+",248649,248905,248508,397,"F-open-F",248508,248905,"chrII"
"chrII","YBR007C (DSF2)","-",248665,248508,248905,397,"F-open-F",248508,248905,"chrII"
"chrII","YBR008C (FLR1)","-",252433,252449,252700,251,"F-open-W",252449,252700,"chrII"
"chrII","YBR009C (HHF1)","-",255199,255165,255336,171,"W-close-W",255165,255336,"chrII"
"chrII","YBR010W (HHT1 BUR5 SIN2)","+",256898,256988,256629,359,"F-open-F",256629,256988,"chrII"
"chrII","YBR011C (IPP1 PPA1)","-",257000,256988,257074,86,"F-overlap-F",256988,257074,"chrII"
"chrII","YBR012C","-",258940,NA,NA,NA,"+1_missing",258608,266568,"chrII"
"chrII","YBR013C","-",265362,NA,NA,NA,"+1_missing",258608,266568,"chrII"
"chrII","YBR014C (GRX7)","-",266614,266568,266718,150,"W-close-W",266568,266718,"chrII"
"chrII","YBR015C (MNN2 CRV4 LDB8 TTP1)","-",267568,267541,267741,200,"F-close-F",267541,267741,"chrII"
"chrII","YBR016W","+",270840,270999,270571,428,"W-open-F",270571,270999,"chrII"
"chrII","YBR017C (KAP104)","-",270845,270571,270999,428,"F-open-W",270571,270999,"chrII"
"chrII","YBR018C (GAL7)","-",274266,274153,274491,338,"F-open-W",274153,274491,"chrII"
"chrII","YBR019C (GAL10)","-",276143,276064,276224,160,"W-close-W",276064,276224,"chrII"
"chrII","YBR020W (GAL1)","+",280728,280875,280529,346,"W-open-W",280529,280875,"chrII"
"chrII","YBR021W (FUR4)","+",283482,283486,283290,196,"W-close-W",283290,283486,"chrII"
"chrII","YBR022W (POA1)","+",284428,284438,284234,204,"W-close-F",284234,284438,"chrII"
"chrII","YBR023C (CHS3 CAL1 CSD2 DIT101 KTI2)","-",284274,284234,284438,204,"F-close-W",284234,284438,"chrII"
"chrII","YBR024W (SCO2)","+",290537,290568,290396,172,"F-close-F",290396,290568,"chrII"
"chrII","YBR025C (OLA1)","-",290470,290396,290568,172,"F-close-F",290396,290568,"chrII"
"chrII","YBR026C (ETR1 MRF1 MRF1')","-",292761,292698,292870,172,"W-close-W",292698,292870,"chrII"
"chrII","YBR028C","-",294382,294264,294440,176,"W-close-W",294264,294440,"chrII"
"chrII","YBR029C (CDS1 CDG1)","-",296238,296043,296275,232,"F-open-W",296043,296275,"chrII"
"chrII","YBR030W (RKM3)","+",300006,300162,299868,294,"W-open-W",299868,300162,"chrII"
"chrII","YBR031W (RPL4A)","+",301347,301367,301188,179,"F-close-F",301188,301367,"chrII"
"chrII","YBR033W (EDS1)","+",304864,304850,304672,178,"F-close-F",304672,304850,"chrII"
"chrII","YBR034C (HMT1 HCP1 ODP1 RMT1)","-",304740,304672,304850,178,"F-close-F",304672,304850,"chrII"
"chrII","YBR035C (PDX3)","-",306153,305976,306292,316,"W-open-W",305976,306292,"chrII"
"chrII","YBR036C (CSG2 CLS2)","-",308887,308672,308913,241,"F-open-F",308672,308913,"chrII"
"chrII","YBR037C (SCO1 PET161)","-",310495,310329,310626,297,"W-open-W",310329,310626,"chrII"
"chrII","YBR038W (CHS2)","+",314975,315095,314945,150,"W-close-F",314945,315095,"chrII"
"chrII","YBR039W (ATP3)","+",316688,316842,316647,195,"F-close-W",316647,316842,"chrII"
"chrII","YBR041W (FAT1)","+",320417,320580,320234,346,"F-open-F",320234,320580,"chrII"
"chrII","YBR042C (CST26 PSI1)","-",320343,320234,320580,346,"F-open-F",320234,320580,"chrII"
"chrII","YBR043C (QDR3 AQR2)","-",321737,321603,321859,256,"W-open-W",321603,321859,"chrII"
"chrII","YBR044C (TCM62)","-",324283,324054,324331,277,"W-open-W",324054,324331,"chrII"
"chrII","YBR045C (GIP1)","-",328022,327941,328121,180,"W-close-W",327941,328121,"chrII"
"chrII","YBR046C (ZTA1)","-",330246,330255,330356,101,"F-overlap-F",330255,330356,"chrII"
"chrII","YBR047W (FMP23)","+",332461,NA,NA,NA,"+1_missing",332366,332820,"chrII"
"chrII","YBR048W (RPS11B)","+",334027,334081,333976,105,"F-overlap-F",333976,334081,"chrII"
"chrII","YBR049C (REB1 GRF2)","-",334141,334081,334246,165,"W-close-F",334081,334246,"chrII"
"chrII","YBR050C (REG2)","-",337145,336872,337255,383,"W-open-F",336872,337255,"chrII"
"chrII","YBR052C (RFS1)","-",338663,338681,338854,173,"W-close-F",338681,338854,"chrII"
"chrII","YBR053C","-",339595,339373,339645,272,"W-open-W",339373,339645,"chrII"
"chrII","YBR054W (YRO2)","+",344518,344560,344453,107,"F-overlap-F",344453,344560,"chrII"
"chrII","YBR055C (PRP6 RNA6 TSM7269)","-",344509,344453,344560,107,"F-overlap-F",344453,344560,"chrII"
"chrII","YBR056C-B","-",351072,351076,351148,72,"F-overlap-W",351076,351148,"chrII"
"chrII","YBR056W","+",349433,349491,349311,180,"W-close-W",349311,349491,"chrII"
"chrII","YBR056W-A","+",351906,351985,351776,209,"F-close-F",351776,351985,"chrII"
"chrII","YBR057C (MUM2 SPOT8)","-",352074,351985,352122,137,"F-close-F",351985,352122,"chrII"
"chrII","YBR058C (UBP14 GID6)","-",353652,NA,NA,NA,"+1_missing",353343,353771,"chrII"
"chrII","YBR058C-A (TSC3)","-",356153,356015,356229,214,"W-close-W",356015,356229,"chrII"
"chrII","YBR059C (AKL1)","-",356775,356563,356848,285,"W-open-W",356563,356848,"chrII"
"chrII","YBR060C (ORC2 RRR1 SIR5)","-",360595,NA,NA,NA,"+1_missing",360274,360665,"chrII"
"chrII","YBR061C (TRM7)","-",364699,364526,364731,205,"F-close-W",364526,364731,"chrII"
"chrII","YBR062C","-",365872,365688,365909,221,"F-open-W",365688,365909,"chrII"
"chrII","YBR063C","-",366913,366764,366979,215,"W-close-F",366764,366979,"chrII"
"chrII","YBR065C (ECM2 SLT11)","-",368226,368195,368393,198,"F-close-W",368195,368393,"chrII"
"chrII","YBR066C (NRG2)","-",369938,369679,370004,325,"W-open-W",369679,370004,"chrII"
"chrII","YBR067C (TIP1)","-",371974,371889,372101,212,"W-close-W",371889,372101,"chrII"
"chrII","YBR068C (BAP2)","-",373642,373649,373833,184,"F-close-F",373649,373833,"chrII"
"chrII","YBR069C (TAT1 TAP1 VAP1)","-",376412,376413,376584,171,"W-close-W",376413,376584,"chrII"
"chrII","YBR070C (ALG14)","-",379178,379110,379266,156,"F-close-F",379110,379266,"chrII"
"chrII","YBR071W","+",381316,381423,381177,246,"F-open-F",381177,381423,"chrII"
"chrII","YBR072C-A","-",382732,382704,382900,196,"W-close-W",382704,382900,"chrII"
"chrII","YBR072W (HSP26)","+",382838,382900,382704,196,"W-close-W",382704,382900,"chrII"
"chrII","YBR074W (YBR075W)","+",389278,389571,389142,429,"F-open-W",389142,389571,"chrII"
"chrII","YBR076C-A","-",391174,391159,391334,175,"F-close-F",391159,391334,"chrII"
"chrII","YBR076W (ECM8)","+",391765,391895,391615,280,"W-open-W",391615,391895,"chrII"
"chrII","YBR077C (SLM4 EGO3 GSE1 NIR1)","-",391676,391615,391895,280,"W-open-W",391615,391895,"chrII"
"chrII","YBR078W (ECM33)","+",395042,395157,394960,197,"W-close-F",394960,395157,"chrII"
"chrII","YBR079C (RPG1 TIF32)","-",395294,395271,395481,210,"F-close-F",395271,395481,"chrII"
"chrII","YBR080C (SEC18 ANU4)","-",398481,398252,398534,282,"W-open-W",398252,398534,"chrII"
"chrII","YBR081C (SPT7 GIT2)","-",401139,400870,401177,307,"W-open-F",400870,401177,"chrII"
"chrII","YBR082C (UBC4)","-",406461,406314,406505,191,"F-close-W",406314,406505,"chrII"
"chrII","YBR083W (TEC1 ROC1)","+",410718,410725,410550,175,"W-close-W",410550,410725,"chrII"
"chrII","YBR084C-A (RPL19A)","-",414105,414124,414288,164,"W-close-F",414124,414288,"chrII"
"chrII","YBR084W (MIS1)","+",414116,414124,413926,198,"W-close-F",413926,414124,"chrII"
"chrII","YBR085C-A","-",418536,418503,418694,191,"F-close-F",418503,418694,"chrII"
"chrII","YBR085W (AAC3 ANC3)","+",417083,417075,416883,192,"F-close-F",416883,417075,"chrII"
"chrII","YBR086C (IST2)","-",420069,419976,420152,176,"F-close-W",419976,420152,"chrII"
"chrII","YBR087W (RFC5)","+",424889,424983,424821,162,"F-close-F",424821,424983,"chrII"
